Year,Nap_Dens,Con_Dens
2000,0.120681,0.01423
2001,0.055775,0.019405
2002,0.07922,0.01229
2003,0.246051,0.035576
2004,0.117473,0.336357
2005,0.066634,0.023933
2006,0.034551,0.072445
2007,0.100937,0.040103
2008,0.206071076,0.082733813
2009,0.257897335,0.501293661
2010,0.165844028,0.176584735
2011,0.59526,0.024579
2012,0.30133,0.02329
2013,0.115004936,0.01358
2014,0.016535044,0.016817594
2015,0.017,0.06
2016,0.08,0.02
2017,0.23124383,0.01
2018,0.259871668,0.076972833
2019,0.134008,0.018111
